relation_family,node_id,node_label,node_type,degree,betweenness_undirected_projection,top_degree_5,top_betweenness_5
INSTITUTION_EVENT_ORGANIZER,P-0072,Yi Yŏng-jae,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0010,Global Buddhist Summit 2023,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0005,Delhi University - BGICBS academic MOU,EVENTS,2,1.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0028,Samguk Sagi,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,TX-0003,Samguk Yusa,TEXTS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0018,Hyeryun,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0013,Pune University (SPPU),INSTITUTIONS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0015,Korean Buddhist delegation to India (국제불교문제연구소),EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0010,Dongguk University,INSTITUTIONS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EP-0005,Jung Won-ju (정원주),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0004,Kyŏnghŭng,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,EV-0006,Jogye delegation pilgrimage Sarnath -> Bodh Gaya,EVENTS,1,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0005,T'aehyŏn,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0011,Gyeomik,PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0064,Wookwan (Ven.),PEOPLE,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,I-0016,Mahayeon Temple Food Culture Center,INSTITUTIONS,0,0.000000,0,0
INSTITUTION_EVENT_ORGANIZER,P-0062,Buddhavara (Ven.),PEOPLE,0,0.000000,0,0
